Timestamp,Price
2023-01-25 00:00:00,0.9996823898445337
2023-01-26 00:00:00,1.0020012803465694
2023-01-27 00:00:00,1.000460898497005
2023-01-28 00:00:00,1.0012324453315866
2023-01-29 00:00:00,1.000894574927383
2023-01-30 00:00:00,1.0012925681988971
2023-01-31 00:00:00,1.0014201495011363
2023-02-01 00:00:00,1.0007402382204014
2023-02-02 00:00:00,1.0011515412050378
2023-02-03 00:00:00,1.0021261840493765
2023-02-04 00:00:00,1.0003629998909176
2023-02-05 00:00:00,1.0011961843414285
2023-02-06 00:00:00,1.000267950858493
2023-02-07 00:00:00,0.9999977658204721
2023-02-08 00:00:00,1.0007269125254412
2023-02-09 00:00:00,1.0002810515274163
2023-02-10 00:00:00,1.0005512711243139
2023-02-11 00:00:00,0.9998770257536755
2023-02-12 00:00:00,1.001219522060017
2023-02-13 00:00:00,1.0007546303535833
2023-02-14 00:00:00,1.000397470820415
2023-02-15 00:00:00,1.0007037602970557
2023-02-16 00:00:00,0.9998335813969325
2023-02-17 00:00:00,1.0053702176258374
2023-02-18 00:00:00,1.0001364324569622
2023-02-19 00:00:00,1.000518056664825
2023-02-20 00:00:00,0.9992989455271616
2023-02-21 00:00:00,0.9994061411430225
2023-02-22 00:00:00,1.000438699565148
2023-02-23 00:00:00,0.999477602329776
2023-02-24 00:00:00,1.0008228823336034
2023-02-25 00:00:00,0.9998231210443658
2023-02-26 00:00:00,1.0002100500138307
2023-02-27 00:00:00,0.9998056785140832
2023-02-28 00:00:00,1.0005816427511893
2023-03-01 00:00:00,0.9985425261696153
2023-03-02 00:00:00,0.9998604345550359
2023-03-03 00:00:00,1.000015658074715
2023-03-04 00:00:00,1.0007491007362905
2023-03-05 00:00:00,1.001415496893049
2023-03-06 00:00:00,1.0001882860833844
2023-03-07 00:00:00,1.0003612473323575
2023-03-08 00:00:00,1.0008495152289711
2023-03-09 00:00:00,1.0000153511947683
2023-03-10 00:00:00,1.001743036848679
2023-03-11 00:00:00,1.0009700442971592
2023-03-12 00:00:00,1.0029250302397972
2023-03-13 00:00:00,1.007302509145363
2023-03-14 00:00:00,1.0036596765164458
2023-03-15 00:00:00,1.003881764774697
2023-03-16 00:00:00,1.0065838509569198
2023-03-17 00:00:00,1.0069881467210517
2023-03-18 00:00:00,1.0
2023-03-19 00:00:00,1.000000000000008
2023-03-20 00:00:00,1.0056104594393585
2023-03-21 00:00:00,1.0095940522274818
2023-03-22 00:00:00,1.0069317095125425
2023-03-23 00:00:00,1.007806772921929
2023-03-24 00:00:00,1.0047654136364954
2023-03-25 00:00:00,1.0019190880784417
2023-03-26 00:00:00,1.0076035228333418
2023-03-27 00:00:00,1.001102557238932
2023-03-28 00:00:00,1.0020172443568969
2023-03-29 00:00:00,1.0010613610598385
2023-03-30 00:00:00,1.0006765727836773
2023-03-31 00:00:00,1.0006736495347306
2023-04-01 00:00:00,1.0008899282242656
2023-04-02 00:00:00,1.0011873383652106
2023-04-03 00:00:00,1.0020219599650837
2023-04-04 00:00:00,1.0002890478121205
2023-04-05 00:00:00,1.0011890462779678
2023-04-06 00:00:00,1.0002644819073356
2023-04-07 00:00:00,1.000621433410576
2023-04-08 00:00:00,1.0011058570577147
2023-04-09 00:00:00,1.0010214146819667
2023-04-10 00:00:00,1.0013587032512785
2023-04-11 00:00:00,1.0011665125287472
2023-04-12 00:00:00,1.0010535546166355
2023-04-13 00:00:00,1.0007944670821702
2023-04-14 00:00:00,1.001765945894071
2023-04-15 00:00:00,1.001115281273318
2023-04-16 00:00:00,1.0006996712002458
2023-04-17 00:00:00,1.0008969706648332
2023-04-18 00:00:00,1.0015826257626514
2023-04-19 00:00:00,1.000532391170918
2023-04-20 00:00:00,1.0013568483203215
2023-04-21 00:00:00,1.0003809137643753
2023-04-22 00:00:00,1.001170706014844
2023-04-23 00:00:00,1.0020009378534893
2023-04-24 00:00:00,1.00116375783237
2023-04-25 00:00:00,1.0007167951427052
2023-04-26 00:00:00,1.0014737126187836
2023-04-27 00:00:00,1.000296836942415
2023-04-28 00:00:00,1.001350899248264
2023-04-29 00:00:00,1.0007938359000932
2023-04-30 00:00:00,1.000952488788206
2023-05-01 00:00:00,1.0013626079294586
2023-05-02 00:00:00,1.001332354405031
2023-05-03 00:00:00,1.0013405330723832
2023-05-04 00:00:00,1.0003731491865995
2023-05-05 00:00:00,1.000573586856295
2023-05-06 00:00:00,1.0013408781850142
2023-05-07 00:00:00,1.0017414376831404
2023-05-08 00:00:00,1.0014778730229446
2023-05-09 00:00:00,1.0008933946822607
2023-05-10 00:00:00,0.998773584418374
2023-05-11 00:00:00,0.9997730914912693
2023-05-12 00:00:00,0.9999926442450879
2023-05-13 00:00:00,1.0010597307143012
2023-05-14 00:00:00,1.0007015823514978
2023-05-15 00:00:00,1.0000412226369675
2023-05-16 00:00:00,1.0016350204970128
2023-05-17 00:00:00,1.000153869534579
2023-05-18 00:00:00,0.999302334528343
2023-05-19 00:00:00,0.999370508017546
2023-05-20 00:00:00,1.000565722157502
2023-05-21 00:00:00,1.0001177881758423
2023-05-22 00:00:00,1.0003978793452966
2023-05-23 00:00:00,1.0001901853873807
2023-05-24 00:00:00,1.0000759933014864
2023-05-25 00:00:00,0.9996633161334962
2023-05-26 00:00:00,0.9998546264977252
2023-05-27 00:00:00,1.0006694844916575
2023-05-28 00:00:00,1.0001474591967683
2023-05-29 00:00:00,1.0002155757169435
2023-05-30 00:00:00,1.0004538437650705
2023-05-31 00:00:00,1.0002768822343326
2023-06-01 00:00:00,1.000403806707414
2023-06-02 00:00:00,1.0002824103469976
2023-06-03 00:00:00,1.0003765714505408
2023-06-04 00:00:00,1.0003733188731239
2023-06-05 00:00:00,1.0024604902656848
2023-06-06 00:00:00,1.0014599108165811
2023-06-07 00:00:00,1.0004545640825404
2023-06-08 00:00:00,0.9998485018624065
2023-06-09 00:00:00,0.9998031712508338
2023-06-10 00:00:00,0.9999353667268374
2023-06-11 00:00:00,1.0005425670886527
2023-06-12 00:00:00,1.0005488381681502
2023-06-13 00:00:00,1.0003618518946387
2023-06-14 00:00:00,0.9989999030777137
2023-06-15 00:00:00,0.9990575435310662
2023-06-16 00:00:00,0.999088388977999
2023-06-17 00:00:00,0.9993655187980076
2023-06-18 00:00:00,0.9989070475232625
2023-06-19 00:00:00,0.9996073859739449
2023-06-20 00:00:00,1.0001187662344246
2023-06-21 00:00:00,0.999060525973033
2023-06-22 00:00:00,1.0008414807989598
2023-06-23 00:00:00,1.0008559696469361
2023-06-24 00:00:00,1.000698926146333
2023-06-25 00:00:00,1.0008726730273607
2023-06-26 00:00:00,0.9996999119797204
2023-06-27 00:00:00,1.0002500919938884
2023-06-28 00:00:00,0.9998202078282138
2023-06-29 00:00:00,0.9994506236050122
2023-06-30 00:00:00,1.0003833216265783
2023-07-01 00:00:00,0.9995964530617081
2023-07-02 00:00:00,1.0001834506123823
2023-07-03 00:00:00,0.9990191267051235
2023-07-04 00:00:00,0.999795592054086
2023-07-05 00:00:00,0.9999385227397539
2023-07-06 00:00:00,0.9992324189691514
2023-07-07 00:00:00,0.9999991428847104
2023-07-08 00:00:00,1.0001222567391679
2023-07-09 00:00:00,1.0002422863538163
2023-07-10 00:00:00,0.9998358275612065
2023-07-11 00:00:00,1.0000960808426629
2023-07-12 00:00:00,1.000126277483578
2023-07-13 00:00:00,1.0005074515751453
2023-07-14 00:00:00,1.0003916021641654
2023-07-15 00:00:00,1.0007066392877917
2023-07-16 00:00:00,1.0006530884475466
2023-07-17 00:00:00,1.0005482868732642
2023-07-18 00:00:00,0.9998071871420023
2023-07-19 00:00:00,1.0004809519836453
2023-07-20 00:00:00,1.0002928762456451
2023-07-21 00:00:00,1.0001992653281024
2023-07-22 00:00:00,1.000050382290215
2023-07-23 00:00:00,0.9997490526422014
2023-07-24 00:00:00,0.999898413750001
2023-07-25 00:00:00,1.0000973295833209
2023-07-26 00:00:00,0.9996062705921892
2023-07-27 00:00:00,1.0008326044089932
2023-07-28 00:00:00,0.999739572533881
2023-07-29 00:00:00,0.9999453849555628
2023-07-30 00:00:00,0.9999745347844408
2023-07-31 00:00:00,1.0002378457856913
2023-08-01 00:00:00,0.999866830556736
2023-08-02 00:00:00,0.9999415960949525
2023-08-03 00:00:00,0.999241912887552
2023-08-04 00:00:00,0.9986798538079775
2023-08-05 00:00:00,0.9989124954709581
2023-08-06 00:00:00,0.9989869260138814
2023-08-07 00:00:00,0.9983198416783463
2023-08-08 00:00:00,0.9988731533009275
2023-08-09 00:00:00,0.9999454982095487
2023-08-10 00:00:00,0.9997120082401099
2023-08-11 00:00:00,0.9988989814309317
2023-08-12 00:00:00,0.9989379212012733
2023-08-13 00:00:00,0.9993771983831886
2023-08-14 00:00:00,0.9993836393270443
2023-08-15 00:00:00,0.998712649259746
2023-08-16 00:00:00,0.9988934302939576
2023-08-17 00:00:00,0.9997501195088656
2023-08-18 00:00:00,0.9961744307155989
2023-08-19 00:00:00,0.999380820968805
2023-08-20 00:00:00,1.0002432374147268
2023-08-21 00:00:00,0.9992078411720594
2023-08-22 00:00:00,0.9998321490594397
2023-08-23 00:00:00,1.0001995267368031
2023-08-24 00:00:00,1.0010082521520007
2023-08-25 00:00:00,0.9992697373767391
2023-08-26 00:00:00,0.9995011508606099
2023-08-27 00:00:00,0.999656163174702
2023-08-28 00:00:00,0.9994984237164385
2023-08-29 00:00:00,0.9995802412909343
2023-08-30 00:00:00,0.9999131005986558
2023-08-31 00:00:00,0.9997151129127252
2023-09-01 00:00:00,0.99965511991545
2023-09-02 00:00:00,0.9994078309868861
2023-09-03 00:00:00,0.999680400944084
2023-09-04 00:00:00,0.9996074455615626
2023-09-05 00:00:00,0.9995220028346884
2023-09-06 00:00:00,0.9995302269207461
2023-09-07 00:00:00,0.9993040198121409
2023-09-08 00:00:00,0.9999287450192484
2023-09-09 00:00:00,0.9999982399495624
2023-09-10 00:00:00,0.9996194065570831
2023-09-11 00:00:00,0.9996572195691139
2023-09-12 00:00:00,0.9997010568823462
2023-09-13 00:00:00,1.0008352580000994
2023-09-14 00:00:00,1.0001464549772976
2023-09-15 00:00:00,1.0000669617682818
2023-09-16 00:00:00,0.9998946276881426
2023-09-17 00:00:00,1.0001709715545677
2023-09-18 00:00:00,1.0002486872945509
2023-09-19 00:00:00,0.999955056279049
2023-09-19 01:30:00,1.0002210121036108
